LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2009,176778.5622,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2010,187856.7611,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2011,199306.508,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2012,215786.2797,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2013,238357.4679,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2014,224039.0919,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2015,210509.5264,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2016,202757.4576,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2017,239800.9115,
AUT,FDISTOCK,OUTWARD,MLN_USD,A,2018,238905.4271,
AUT,FDISTOCK,INWARD,PC_GDP,A,2005,26.51252715,
AUT,FDISTOCK,INWARD,PC_GDP,A,2006,33.73634793,
AUT,FDISTOCK,INWARD,PC_GDP,A,2007,42.34568339,
AUT,FDISTOCK,INWARD,PC_GDP,A,2008,35.01156048,
AUT,FDISTOCK,INWARD,PC_GDP,A,2009,43.6054405,
AUT,FDISTOCK,INWARD,PC_GDP,A,2010,42.48045941,
AUT,FDISTOCK,INWARD,PC_GDP,A,2011,36.8488157,
AUT,FDISTOCK,INWARD,PC_GDP,A,2012,41.93600441,
AUT,FDISTOCK,INWARD,PC_GDP,A,2013,43.38628109,
AUT,FDISTOCK,INWARD,PC_GDP,A,2014,41.35443605,
AUT,FDISTOCK,INWARD,PC_GDP,A,2015,43.43576622,
AUT,FDISTOCK,INWARD,PC_GDP,A,2016,39.64075249,
AUT,FDISTOCK,INWARD,PC_GDP,A,2017,48.64621203,
AUT,FDISTOCK,INWARD,PC_GDP,A,2018,45.80876383,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2005,23.89334757,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2006,32.70816644,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2007,40.1231628,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2008,35.96699753,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2009,44.17827249,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2010,47.93576433,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2011,46.22990566,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2012,52.70468933,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2013,55.42311448,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2014,50.6880246,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2015,55.1335314,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2016,51.30142892,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2017,57.46722703,
AUT,FDISTOCK,OUTWARD,PC_GDP,A,2018,52.47372685,
BEL,FDISTOCK,INWARD,MLN_USD,A,2012,486226.2533,
BEL,FDISTOCK,INWARD,MLN_USD,A,2013,482945.8006,
BEL,FDISTOCK,INWARD,MLN_USD,A,2014,496519.3638,
BEL,FDISTOCK,INWARD,MLN_USD,A,2015,520992.1611,
BEL,FDISTOCK,INWARD,MLN_USD,A,2016,517401.286,
BEL,FDISTOCK,INWARD,MLN_USD,A,2017,556011.1538,
BEL,FDISTOCK,INWARD,MLN_USD,A,2018,524711.0144,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2012,419639.8417,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2013,465527.5134,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2014,554624.2564,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2015,582582.4714,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2016,599379.572,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2017,706197.2895,
BEL,FDISTOCK,OUTWARD,MLN_USD,A,2018,586103.5035,
BEL,FDISTOCK,INWARD,PC_GDP,A,2012,97.65850238,
BEL,FDISTOCK,INWARD,PC_GDP,A,2013,92.70918789,
BEL,FDISTOCK,INWARD,PC_GDP,A,2014,93.54022352,
BEL,FDISTOCK,INWARD,PC_GDP,A,2015,114.267627,
BEL,FDISTOCK,INWARD,PC_GDP,A,2016,110.1610395,
BEL,FDISTOCK,INWARD,PC_GDP,A,2017,112.3477963,
BEL,FDISTOCK,INWARD,PC_GDP,A,2018,98.67312434,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2012,84.28462717,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2013,89.36546847,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2014,104.4867143,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2015,127.7760425,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2016,127.6152157,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2017,142.6944562,
BEL,FDISTOCK,OUTWARD,PC_GDP,A,2018,110.2181244,
CAN,FDISTOCK,INWARD,MLN_USD,A,2005,638650.0644,
CAN,FDISTOCK,INWARD,MLN_USD,A,2006,706840.5698,
CAN,FDISTOCK,INWARD,MLN_USD,A,2007,1032966.299,
CAN,FDISTOCK,INWARD,MLN_USD,A,2008,620191.0828,
CAN,FDISTOCK,INWARD,MLN_USD,A,2009,867469.6608,
CAN,FDISTOCK,INWARD,MLN_USD,A,2010,983889.4995,
CAN,FDISTOCK,INWARD,MLN_USD,A,2011,862698.335,
CAN,FDISTOCK,INWARD,MLN_USD,A,2012,953502.8135,
CAN,FDISTOCK,INWARD,MLN_USD,A,2013,982529.1353,
CAN,FDISTOCK,INWARD,MLN_USD,A,2014,994711.6148,
CAN,FDISTOCK,INWARD,MLN_USD,A,2015,864233.3815,
CAN,FDISTOCK,INWARD,MLN_USD,A,2016,965881.5166,
CAN,FDISTOCK,INWARD,MLN_USD,A,2017,1072950.34,
CAN,FDISTOCK,INWARD,MLN_USD,A,2018,899144.1865,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2005,692286.8184,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2006,781885.1896,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2007,951295.4154,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2008,644823.6159,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2009,892342.0927,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2010,998466.3803,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2011,891619.001,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2012,972041.8006,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2013,1131176.692,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2014,1125916.891,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2015,1112689.306,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2016,1252046.855,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2017,1485362.683,
CAN,FDISTOCK,OUTWARD,MLN_USD,A,2018,1319910.404,
CAN,FDISTOCK,INWARD,PC_GDP,A,2005,54.4392202,
CAN,FDISTOCK,INWARD,PC_GDP,A,2006,53.57670855,
CAN,FDISTOCK,INWARD,PC_GDP,A,2007,70.32610584,
CAN,FDISTOCK,INWARD,PC_GDP,A,2008,39.93674956,
CAN,FDISTOCK,INWARD,PC_GDP,A,2009,63.10593626,
CAN,FDISTOCK,INWARD,PC_GDP,A,2010,60.83659838,
CAN,FDISTOCK,INWARD,PC_GDP,A,2011,48.11928826,
CAN,FDISTOCK,INWARD,PC_GDP,A,2012,52.14140957,
CAN,FDISTOCK,INWARD,PC_GDP,A,2013,53.18999701,
CAN,FDISTOCK,INWARD,PC_GDP,A,2014,55.15363381,
CAN,FDISTOCK,INWARD,PC_GDP,A,2015,55.53745102,
CAN,FDISTOCK,INWARD,PC_GDP,A,2016,63.11825686,
CAN,FDISTOCK,INWARD,PC_GDP,A,2017,65.01992045,
CAN,FDISTOCK,INWARD,PC_GDP,A,2018,52.50286612,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2005,59.01127495,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2006,59.26489893,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2007,64.76581293,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2008,41.52294344,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2009,64.91533453,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2010,61.73792708,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2011,49.73241513,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2012,53.15519675,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2013,61.23715083,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2014,62.42855416,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2015,71.50375023,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2016,81.81853951,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2017,90.011774,
CAN,FDISTOCK,OUTWARD,PC_GDP,A,2018,77.07226521,
CZE,FDISTOCK,INWARD,MLN_USD,A,2005,60662.27428,
CZE,FDISTOCK,INWARD,MLN_USD,A,2006,79837.93972,
CZE,FDISTOCK,INWARD,MLN_USD,A,2007,112395.531,
CZE,FDISTOCK,INWARD,MLN_USD,A,2008,113172.9392,
CZE,FDISTOCK,INWARD,MLN_USD,A,2009,125828.7547,
CZE,FDISTOCK,INWARD,MLN_USD,A,2010,128505.4878,
CZE,FDISTOCK,INWARD,MLN_USD,A,2011,120569.2778,
CZE,FDISTOCK,INWARD,MLN_USD,A,2012,136493.8677,
CZE,FDISTOCK,INWARD,MLN_USD,A,2013,134084.5539,
CZE,FDISTOCK,INWARD,MLN_USD,A,2014,121511.8245,
CZE,FDISTOCK,INWARD,MLN_USD,A,2015,116627.8199,
CZE,FDISTOCK,INWARD,MLN_USD,A,2016,121854.6215,
CZE,FDISTOCK,INWARD,MLN_USD,A,2017,155994.1321,
CZE,FDISTOCK,INWARD,MLN_USD,A,2018,163288.5596,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2005,3610.40719,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2006,5017.210492,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2007,8556.463827,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2008,12531.69243,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2009,14804.74831,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2010,14922.35345,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2011,13214.22096,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2012,17367.5463,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2013,20626.52775,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2014,18235.43838,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2015,18591.3632,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2016,19426.30298,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2017,32364.05303,
CZE,FDISTOCK,OUTWARD,MLN_USD,A,2018,34943.01994,
CZE,FDISTOCK,INWARD,PC_GDP,A,2005,44.51277312,
CZE,FDISTOCK,INWARD,PC_GDP,A,2006,51.35464871,
CZE,FDISTOCK,INWARD,PC_GDP,A,2007,59.39706986,
CZE,FDISTOCK,INWARD,PC_GDP,A,2008,48.01180187,
CZE,FDISTOCK,INWARD,PC_GDP,A,2009,61.02859379,
CZE,FDISTOCK,INWARD,PC_GDP,A,2010,61.93695221,
CZE,FDISTOCK,INWARD,PC_GDP,A,2011,52.89325599,
CZE,FDISTOCK,INWARD,PC_GDP,A,2012,65.81938336,
CZE,FDISTOCK,INWARD,PC_GDP,A,2013,64.03200438,
CZE,FDISTOCK,INWARD,PC_GDP,A,2014,58.47022349,
CZE,FDISTOCK,INWARD,PC_GDP,A,2015,62.42460112,
CZE,FDISTOCK,INWARD,PC_GDP,A,2016,62.46062542,
CZE,FDISTOCK,INWARD,PC_GDP,A,2017,72.24843841,
CZE,FDISTOCK,INWARD,PC_GDP,A,2018,66.58699573,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2005,2.649245153,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2006,3.227251144,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2007,4.521789037,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2008,5.316369251,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2009,7.180496804,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2010,7.192261656,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2011,5.79702545,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2012,8.374890441,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2013,9.850186888,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2014,8.774702893,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2015,9.950957099,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2016,9.957595522,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2017,14.98936057,
CZE,FDISTOCK,OUTWARD,PC_GDP,A,2018,14.24931867,
DNK,FDISTOCK,INWARD,MLN_USD,A,2005,74650.93847,
DNK,FDISTOCK,INWARD,MLN_USD,A,2006,92079.4702,
DNK,FDISTOCK,INWARD,MLN_USD,A,2007,111288.4161,
DNK,FDISTOCK,INWARD,MLN_USD,A,2008,103946.7212,
DNK,FDISTOCK,INWARD,MLN_USD,A,2009,103229.6605,
DNK,FDISTOCK,INWARD,MLN_USD,A,2010,96983.94884,
DNK,FDISTOCK,INWARD,MLN_USD,A,2011,98423.14119,
DNK,FDISTOCK,INWARD,MLN_USD,A,2012,98319.52077,
DNK,FDISTOCK,INWARD,MLN_USD,A,2013,74943.37392,
DNK,FDISTOCK,INWARD,MLN_USD,A,2014,95766.48982,
DNK,FDISTOCK,INWARD,MLN_USD,A,2015,91978.77013,
DNK,FDISTOCK,INWARD,MLN_USD,A,2016,99403.35753,
DNK,FDISTOCK,INWARD,MLN_USD,A,2017,116993.0892,
DNK,FDISTOCK,INWARD,MLN_USD,A,2018,109894.0087,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2005,88091.58615,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2006,105907.2848,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2007,127245.8629,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2008,141105.6874,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2009,153871.3531,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2010,165375.0913,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2011,176065.1629,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2012,183986.853,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2013,157753.0622,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2014,167394.8744,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2015,164757.8331,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2016,169708.201,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2017,201621.5345,
DNK,FDISTOCK,OUTWARD,MLN_USD,A,2018,193338.1906,
DNK,FDISTOCK,INWARD,PC_GDP,A,2005,28.22694956,
DNK,FDISTOCK,INWARD,PC_GDP,A,2006,32.5500388,
DNK,FDISTOCK,INWARD,PC_GDP,A,2007,34.84041899,
DNK,FDISTOCK,INWARD,PC_GDP,A,2008,29.41675479,
DNK,FDISTOCK,INWARD,PC_GDP,A,2009,32.13440664,
DNK,FDISTOCK,INWARD,PC_GDP,A,2010,30.11966905,
DNK,FDISTOCK,INWARD,PC_GDP,A,2011,28.6111121,
DNK,FDISTOCK,INWARD,PC_GDP,A,2012,30.05344685,
DNK,FDISTOCK,INWARD,PC_GDP,A,2013,21.81221671,
DNK,FDISTOCK,INWARD,PC_GDP,A,2014,27.1298091,
DNK,FDISTOCK,INWARD,PC_GDP,A,2015,30.38882561,
DNK,FDISTOCK,INWARD,PC_GDP,A,2016,31.86126571,
DNK,FDISTOCK,INWARD,PC_GDP,A,2017,35.46690673,
DNK,FDISTOCK,INWARD,PC_GDP,A,2018,31.21470115,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2005,33.30911587,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2006,37.43816315,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2007,39.83612432,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2008,39.93268243,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2009,47.89868154,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2010,51.35945771,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2011,51.1812573,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2012,56.23948393,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2013,45.91391875,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2014,47.42150406,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2015,54.43426837,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2016,54.39572887,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2017,61.1223467,
DNK,FDISTOCK,OUTWARD,PC_GDP,A,2018,54.91649559,
FIN,FDISTOCK,INWARD,MLN_USD,A,2005,54800.04719,
FIN,FDISTOCK,INWARD,MLN_USD,A,2006,70568.94508,
FIN,FDISTOCK,INWARD,MLN_USD,A,2007,91703.22391,
FIN,FDISTOCK,INWARD,MLN_USD,A,2008,83539.31802,
FIN,FDISTOCK,INWARD,MLN_USD,A,2009,85169.28396,
FIN,FDISTOCK,INWARD,MLN_USD,A,2010,85855.15767,
FIN,FDISTOCK,INWARD,MLN_USD,A,2011,89226.29059,
FIN,FDISTOCK,INWARD,MLN_USD,A,2012,96635.88391,
FIN,FDISTOCK,INWARD,MLN_USD,A,2013,88807.0611,B
FIN,FDISTOCK,INWARD,MLN_USD,A,2014,93047.22593,
FIN,FDISTOCK,INWARD,MLN_USD,A,2015,81660.31573,
FIN,FDISTOCK,INWARD,MLN_USD,A,2016,79930.43112,
FIN,FDISTOCK,INWARD,MLN_USD,A,2017,89986.80739,
FIN,FDISTOCK,INWARD,MLN_USD,A,2018,71499.8855,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2005,81857.96862,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2006,96208.3498,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2007,116531.7238,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2008,114146.1378,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2009,130240.5993,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2010,137661.6782,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2011,133772.8037,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2012,151373.3509,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2013,145454.4201,B
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2014,116740.3181,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2015,94610.77844,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2016,108406.2401,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2017,122661.3097,
FIN,FDISTOCK,OUTWARD,MLN_USD,A,2018,127872.6815,
FIN,FDISTOCK,INWARD,PC_GDP,A,2005,26.80614681,
FIN,FDISTOCK,INWARD,PC_GDP,A,2006,32.58912387,
FIN,FDISTOCK,INWARD,PC_GDP,A,2007,35.90973304,
FIN,FDISTOCK,INWARD,PC_GDP,A,2008,29.44085808,
FIN,FDISTOCK,INWARD,PC_GDP,A,2009,33.86669443,
FIN,FDISTOCK,INWARD,PC_GDP,A,2010,34.64698425,
FIN,FDISTOCK,INWARD,PC_GDP,A,2011,32.60310639,
FIN,FDISTOCK,INWARD,PC_GDP,A,2012,37.64450215,
FIN,FDISTOCK,INWARD,PC_GDP,A,2013,32.89392851,B
FIN,FDISTOCK,INWARD,PC_GDP,A,2014,34.13208058,
FIN,FDISTOCK,INWARD,PC_GDP,A,2015,35.06980252,
FIN,FDISTOCK,INWARD,PC_GDP,A,2016,33.44236573,
FIN,FDISTOCK,INWARD,PC_GDP,A,2017,35.66219439,
FIN,FDISTOCK,INWARD,PC_GDP,A,2018,26.09856348,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2005,40.04187656,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2006,44.42954086,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2007,45.63223533,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2008,40.22728845,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2009,51.78884189,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2010,55.55358731,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2011,48.88031233,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2012,58.96747878,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2013,53.8759783,B
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2014,42.82330723,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2015,40.63150242,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2016,45.35645659,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2017,48.6112531,
FIN,FDISTOCK,OUTWARD,PC_GDP,A,2018,46.67550545,
FRA,FDISTOCK,INWARD,MLN_USD,A,2005,371436.2534,
FRA,FDISTOCK,INWARD,MLN_USD,A,2006,493763.5467,
FRA,FDISTOCK,INWARD,MLN_USD,A,2007,623627.8596,
FRA,FDISTOCK,INWARD,MLN_USD,A,2008,563039.7954,
FRA,FDISTOCK,INWARD,MLN_USD,A,2009,648064.6045,
FRA,FDISTOCK,INWARD,MLN_USD,A,2010,630691.9736,
FRA,FDISTOCK,INWARD,MLN_USD,A,2011,698832.2316,
FRA,FDISTOCK,INWARD,MLN_USD,A,2012,680337.2272,
FRA,FDISTOCK,INWARD,MLN_USD,A,2013,761382.7203,
FRA,FDISTOCK,INWARD,MLN_USD,A,2014,700026.6255,
FRA,FDISTOCK,INWARD,MLN_USD,A,2015,687394.4104,
FRA,FDISTOCK,INWARD,MLN_USD,A,2016,694881.1647,
FRA,FDISTOCK,INWARD,MLN_USD,A,2017,818544.8564,
FRA,FDISTOCK,INWARD,MLN_USD,A,2018,824987.3193,
FRA,FDISTOCK,OUTWARD,MLN_USD,A,2005,625564.859,
FRA,FDISTOCK,OUTWARD,MLN_USD,A,2006,823516.207,
